Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,AUC_Mean,AUC_Std
Logistic Regression,0.9420779220779221,0.013335581977136031,0.8009379509379511,0.06194427206305555,0.9199999999999999,0.0748331477354788,0.8519708361813624,0.031227668215488814,0.9854879227053139,0.01055298944034487
Random Forest,0.9311688311688311,0.021165245493468432,0.7916938616938617,0.08595715704295893,0.86,0.04898979485566354,0.8209601077793298,0.048291833139441416,0.984096618357488,0.007000558417163312
Gradient Boosting,0.9673376623376623,0.017867883428719172,0.9555555555555555,0.054433105395181765,0.86,0.04898979485566354,0.9052631578947368,0.0515682051112248,0.976183574879227,0.014945582637812167
MLP Neural Network,0.9456493506493506,0.011505789899627496,0.8914141414141415,0.09894350592926723,0.8200000000000001,0.07483314773547885,0.8459696478272329,0.025524744854891018,0.982328502415459,0.009355052194596794
